TRAVELER_ID,GENDER,AGE_GRP,INCOME,trip_day,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,SIDO,GUNGU,VISIT_AREA_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,sort
a017706,0,20,4,1,6,4,4,1,4,7,7,1,7,1,1,서울,영등포구,63스퀘어,120,3,0,5,4,3,1714
a004224,0,20,4,3,1,4,2,1,3,6,3,3,6,7,0,서울,영등포구,63아트홀,60,3,1,4,3,3,1885
a001549,1,20,2,1,1,3,1,1,3,4,1,6,5,3,1,경기,용인시,AK& 기흥,120,4,0,4,5,4,923
a000195,1,20,2,3,5,4,3,3,4,3,5,4,6,1,0,서울,마포구,AK& 홍대,30,4,1,5,5,5,696
a001375,0,20,2,3,4,4,3,3,4,3,5,4,6,3,2,서울,마포구,AK& 홍대,90,4,0,5,5,5,1094
a012496,1,20,4,2,5,4,3,3,4,3,5,4,6,4,0,서울,마포구,AK& 홍대,60,4,0,5,5,5,757
a018224,1,20,5,1,10,4,2,2,5,6,5,4,4,2,1,경기,수원시,AK플라자 AKTown점,60,4,1,4,4,4,1135
a013687,0,20,1,2,3,4,2,2,5,6,5,4,4,3,1,경기,수원시,AK플라자 AKTown점,90,4,1,5,5,5,1081
a004164,1,20,3,2,4,4,2,2,5,6,5,4,4,3,1,경기,수원시,AK플라자 AKTown점,180,4,1,5,5,5,975
a009706,1,20,4,1,6,4,2,2,5,6,5,4,4,2,0,경기,수원시,AK플라자 AKTown점,30,4,1,5,5,5,1712
a017797,0,20,4,1,4,4,2,2,5,6,5,4,4,2,1,경기,수원시,AK플라자 AKTown점,210,4,0,4,4,4,330
a004186,0,20,4,2,3,4,2,2,5,6,5,4,4,4,0,경기,수원시,AK플라자 AKTown점,120,4,1,4,4,4,1572
a004164,1,20,3,2,4,4,2,2,5,6,5,4,4,3,1,경기,수원시,AK플라자 AKTown점,30,4,0,4,5,5,974
a013687,0,20,1,2,3,4,2,2,5,6,5,4,4,3,1,경기,수원시,AK플라자 AKTown점,270,4,1,5,5,5,1083
a015018,0,20,4,1,1,4,3,1,2,3,2,5,6,1,0,경기,광명시,AK플라자 광명점,60,4,0,4,4,4,143
a003590,0,20,8,2,2,4,3,1,2,3,2,5,6,7,1,경기,광명시,AK플라자 광명점,90,4,0,4,4,4,1893
d004427,0,20,2,3,4,1,2,3,6,3,5,1,7,4,0,경기,평택시,AK플라자 평택점,30,4,0,3,3,3,810
a003223,0,20,5,2,4,1,1,1,1,1,5,3,1,2,0,경기,수원시,AK플라자수원점 AK갤러리,30,4,1,4,3,3,23
a002681,1,20,2,3,3,6,1,6,5,5,6,2,2,1,0,서울,강남구,Apple 가로수길,30,4,0,3,2,3,1836
a000277,1,20,4,2,3,3,3,2,4,6,4,6,5,1,1,서울,용산구,CGV 용산아이파크몰,180,3,0,5,5,5,1100
a007337,1,20,3,1,4,3,3,2,4,6,4,6,5,3,1,서울,용산구,CGV 용산아이파크몰,150,3,1,5,5,5,285
a002949,1,20,5,3,4,3,3,2,4,6,4,6,5,1,1,서울,용산구,CGV 용산아이파크몰,210,3,1,5,5,5,1108
a003980,1,20,4,4,3,1,1,1,6,7,1,1,4,2,1,서울,중구,DDP패션몰,90,3,0,5,5,5,1129
a007548,1,20,3,1,1,4,2,3,3,2,4,4,6,2,0,경기,파주시,DMZ 장단콩두부마을,30,7,0,4,4,3,1430
a000166,1,20,1,2,1,4,2,3,3,2,4,4,6,2,3,경기,파주시,DMZ 장단콩두부마을,60,7,0,4,4,4,1265
a001525,1,20,2,3,3,5,3,3,4,4,4,3,6,3,1,서울,영등포구,IFC몰,120,4,0,5,5,5,661
a005191,1,20,5,1,4,5,3,3,4,4,4,3,6,9,1,서울,영등포구,IFC몰,60,4,1,4,3,4,1556
a000116,0,20,4,3,1,5,3,3,4,4,4,3,6,1,0,서울,영등포구,IFC몰,30,4,1,3,3,3,1403
a003230,1,20,5,2,3,5,3,3,4,4,4,3,6,1,0,서울,영등포구,IFC몰,30,4,1,5,5,5,254
a017693,0,20,4,1,4,5,3,3,4,4,4,3,6,1,1,서울,영등포구,IFC몰,90,4,1,4,4,4,610
a012300,1,20,4,2,4,5,3,3,4,4,4,3,6,3,3,서울,영등포구,IFC몰,60,4,1,5,5,5,1662
a001960,1,20,4,2,3,5,3,3,4,4,4,3,6,2,0,서울,영등포구,IFC몰,30,4,0,5,5,5,450
a018154,1,20,4,1,4,5,3,3,4,4,4,3,6,3,2,서울,영등포구,IFC몰,150,4,1,5,5,5,982
a001103,0,20,4,3,4,5,3,3,4,4,4,3,6,1,0,서울,영등포구,IFC몰,60,4,0,4,4,4,902
a003981,1,20,1,3,1,2,2,1,5,7,6,6,2,1,0,서울,강서구,KBS아레나,30,5,0,1,1,1,1256
a004565,0,20,1,2,3,4,1,2,4,2,4,7,2,1,0,서울,마포구,KB청춘마루,90,3,0,5,5,5,14
a008269,0,20,7,3,4,6,2,3,4,2,4,5,6,1,0,서울,마포구,KT&G상상마당 홍대,30,3,0,4,3,4,1468
a007058,1,20,4,1,1,6,2,3,4,2,4,5,6,3,1,서울,마포구,KT&G상상마당 홍대,30,3,0,4,4,4,1681
a001448,1,20,5,3,5,3,1,2,2,3,4,5,7,3,1,서울,마포구,L7 홍대,120,5,0,5,5,5,47
a005781,1,20,3,1,2,3,3,3,4,3,4,5,5,2,0,서울,성동구,LCDC서울,30,3,0,4,4,4,316
a002971,0,20,2,4,1,3,3,3,4,3,4,5,5,2,0,서울,성동구,LCDC서울,30,4,0,4,2,2,113
a000477,1,20,5,2,4,3,3,3,4,3,4,5,5,2,1,서울,성동구,LCDC서울,30,4,0,3,2,3,1170
a003452,0,20,1,3,3,3,3,3,4,3,4,5,5,3,1,서울,성동구,LCDC서울,30,4,1,3,3,3,1275
a001992,1,20,4,2,2,3,3,3,4,3,4,5,5,10,1,서울,성동구,LCDC서울,60,3,0,3,2,2,1050
a002086,1,20,1,2,3,3,3,3,4,3,4,5,5,1,0,서울,성동구,LCDC서울,30,4,0,4,4,4,683
a009988,0,20,1,2,2,4,2,2,2,3,2,4,6,2,1,인천,연수구,NC큐브 커넬워크,60,4,0,3,3,3,553
b012022,1,20,4,2,1,4,2,2,2,3,2,4,6,1,0,인천,연수구,NC큐브 커넬워크,60,4,1,4,3,4,1873
a015683,1,20,3,2,1,3,2,1,2,5,5,1,7,7,1,인천,연수구,NC큐브 커넬워크 ,30,4,0,2,2,2,1786
a000181,0,20,2,2,1,3,1,2,4,4,2,1,6,3,1,서울,종로구,R&J씨어터,120,3,0,5,5,5,367
a000793,1,20,3,3,1,4,3,4,3,2,3,2,5,7,0,서울,강남구,S2A,60,3,0,3,3,3,1552
a008107,0,20,4,1,4,6,6,2,2,4,1,7,5,1,3,서울,강남구,SETEC,60,3,0,4,4,4,185
a015734,1,20,2,3,2,2,2,2,4,4,4,3,6,2,1,서울,종로구,SH아트홀,150,3,0,4,4,4,1583
a017754,0,20,2,1,1,5,3,2,2,2,5,3,3,2,0,서울,강남구,SPACE R,60,3,0,2,4,3,346
a007582,1,20,5,1,1,5,3,1,3,3,1,3,7,4,0,서울,용산구,story A,30,3,0,5,5,5,523
a001990,1,20,3,2,2,4,4,2,3,3,2,3,2,8,3,서울,송파구,가든파이브,180,4,0,4,4,4,978
a004420,0,20,3,3,1,1,1,1,3,7,2,6,7,7,1,경기,가평군,가평레저파크,30,5,0,4,5,4,1903
a001130,0,20,3,2,1,1,6,1,5,5,1,1,6,9,5,경기,가평군,가평뮤직빌리지 음악역1939,30,3,0,5,5,4,1537
a000816,0,20,7,2,10,2,2,2,3,6,4,6,6,1,3,경기,가평군,가평잣고을시장,30,4,0,3,3,3,1007
a002240,1,20,5,2,1,1,1,1,5,3,1,6,5,3,1,경기,가평군,가평탑랜드,60,5,0,5,4,5,1332
